time,open,high,low,close,vwap,volume,count
1786935600,0.17695,0.177065,0.176609,0.176994,0.176823,317515.07575556,140
1786939200,0.17706,0.1773,0.176884,0.17693,0.177075,266971.29520186,116
1786942800,0.177006,0.177749,0.176393,0.176393,0.177393,2129340.33084947,642
1786946400,0.176497,0.17761,0.176355,0.177228,0.176853,633934.75348157,220
1786950000,0.177242,0.177242,0.175692,0.17598,0.176254,462571.47328363,132
1786953600,0.176047,0.176047,0.175,0.175016,0.175356,215561.05441406,101
1786957200,0.175001,0.175195,0.174167,0.174269,0.174824,750445.84219748,211
1786960800,0.174275,0.1745,0.1725,0.1745,0.173108,2381934.88597811,586
1786964400,0.1746,0.175449,0.174427,0.174664,0.174923,498508.80709424,189
1786968000,0.174683,0.174683,0.17315,0.173361,0.173977,1602994.89789688,304
1786971600,0.173292,0.174764,0.1729,0.174081,0.173379,4952984.59085164,1098
1786975200,0.174059,0.174398,0.173124,0.174303,0.174038,2402496.94025069,490
1786978800,0.17446,0.175275,0.173614,0.174921,0.174468,3962212.89990674,478
1786982400,0.175085,0.1754,0.17406,0.174099,0.174812,676603.00013304,236
1786986000,0.174115,0.175135,0.173505,0.174271,0.174377,639825.7788351,244
1786989600,0.174248,0.174999,0.173795,0.174028,0.174354,639122.29890129,241
1786993200,0.173951,0.174232,0.173421,0.173635,0.173792,551427.20343968,171
1786996800,0.173494,0.174685,0.173108,0.174126,0.173826,684754.16761968,193
1787000400,0.174138,0.174257,0.173606,0.173719,0.173895,82259.60853808,81
1787004000,0.173744,0.173744,0.173204,0.173241,0.173425,378463.26245739,137
1787007600,0.173381,0.174374,0.173321,0.174024,0.173833,128733.69121995,64
1787011200,0.173869,0.174756,0.173734,0.174619,0.174085,412927.74418374,171
1787014800,0.174386,0.174578,0.172942,0.173183,0.173742,627398.02513949,216
1787018400,0.172963,0.173152,0.171123,0.171615,0.171873,1456881.52373757,433
1787022000,0.171711,0.172429,0.171509,0.172223,0.172098,538326.65720166,199
1787025600,0.172261,0.174377,0.172094,0.173707,0.17334,696249.40825474,234
1787029200,0.173682,0.173895,0.172568,0.17294,0.173182,340644.4241818,130
