ts,equity,cash,gross_exposure,n_positions,fees_paid,slippage_paid
1789600850,10000.0,10000.0,0.0,0,0.0,0.0
1789604925,9996.2506,7497.5,2498.7506,1,2.5,1.2494
1789608121,9992.42,7497.5,2494.92,1,2.5,1.2494
1789611755,9985.2583,7497.5,2487.7583,1,2.5,1.2494
1789615365,10003.9119,7497.5,2506.4119,1,2.5,1.2494
1789619001,9998.7489,7497.5,2501.2489,1,2.5,1.2494
1789622522,10004.5781,7497.5,2507.0781,1,2.5,1.2494
1789626493,9998.2492,7497.5,2500.7492,1,2.5,1.2494
1789628820,10012.5725,7497.5,2515.0725,1,2.5,1.2494
1789629838,10009.9077,7497.5,2512.4077,1,2.5,1.2494
1789633496,10016.2366,7497.5,2518.7366,1,2.5,1.2494
1789636984,10016.2366,7497.5,2518.7366,1,2.5,1.2494
1789640572,9997.4165,7497.5,2499.9165,1,2.5,1.2494
1789644130,10010.7405,7497.5,2513.2405,1,2.5,1.2494
1789648073,10030.893,7497.5,2533.393,1,2.5,1.2494
1789651407,10019.2122,4989.2279,5029.9842,2,5.0058,2.5966
1789655075,10045.7682,4989.2279,5056.5403,2,5.0058,2.5966
1789658609,9993.0349,4989.2279,5003.8069,2,5.0058,2.5966
1789662205,10107.4663,4989.2279,5118.2383,2,5.0058,2.5966
1789665590,10122.3887,4989.2279,5133.1607,2,5.0058,2.5966
1789669514,10091.1154,4989.2279,5101.8875,2,5.0058,2.5966
1789672836,10090.8848,4989.2279,5101.6569,2,5.0058,2.5966
1789676555,10130.6651,4989.2279,5141.4371,2,5.0058,2.5966
1789680105,10095.152,7516.4939,2578.6581,1,7.5356,3.8622
1789683635,10069.8817,7516.4939,2553.3878,1,7.5356,3.8622
1789687123,10136.6243,7516.4939,2620.1304,1,7.5356,3.8622
1789691299,10121.2207,4982.7085,5138.5122,2,10.0668,5.1272
1789694454,10182.4688,4982.7085,5199.7603,2,10.0668,5.1272
1789698191,10209.371,2426.8551,7782.5159,3,12.6201,6.4032
1789701706,10285.0577,-0.0,10285.0577,4,15.0445,7.6148
1789705338,10301.9102,2332.4388,7969.4714,6,21.5442,10.9379
1789708837,10330.9565,-0.0,10330.9565,7,23.8743,12.1024
1789712814,10310.4717,-0.0,10310.4717,7,23.8743,12.1024
1789716125,10357.8504,-0.0,10357.8504,7,23.8743,12.1024
1789719788,10394.3562,-0.0,10394.3562,7,23.8743,12.1024
1789723344,10406.3866,-0.0,10406.3866,7,23.8743,12.1024
1789726939,10452.5404,-0.0,10452.5404,7,23.8743,12.1024
1789730465,10331.1022,-0.0,10331.1022,7,23.8743,12.1024
1789734362,10342.0839,-0.0,10342.0839,7,23.8743,12.1024
1789737680,10422.1624,-0.0,10422.1624,7,23.8743,12.1024
1789741323,10584.5378,-0.0,10584.5378,7,23.8743,12.1024
1789744915,10593.4043,-0.0,10593.4043,7,23.8743,12.1024
1789748456,10631.6151,-0.0,10631.6151,7,23.8743,12.1024
1789751959,10610.0513,-0.0,10610.0513,7,23.8743,12.1024
1789755837,10668.5973,-0.0,10668.5973,7,23.8743,12.1024
1789759230,10766.38,-0.0,10766.38,7,23.8743,12.1024
1789762876,10769.0345,-0.0,10769.0345,7,23.8743,12.1024
1789766454,10780.1557,-0.0,10780.1557,7,23.8743,12.1024
